total_bill,sex,smoker,day,time,size,price_per_person,Payer Name,CC Number,Payment ID,tip
9.94,Male,No,Sun,Dinner,2,4.97,Curtis Morgan,4.62863E+15,Sun4561,1.56
25.56,Male,No,Sun,Dinner,4,6.39,Ronald Owens,6.56961E+15,Sun9470,4.34
19.49,Male,No,Sun,Dinner,2,9.74,Michael Hamilton,6.50223E+15,Sun1118,3.51
38.01,Male,Yes,Sat,Dinner,4,9.5,James Christensen DDS,3.49794E+14,Sat8903,3
26.41,Female,No,Sat,Dinner,2,13.2,Melody Simon,4.74539E+15,Sat8980,1.5
11.24,Male,Yes,Sat,Dinner,2,5.62,Troy Guerrero,3.56078E+15,Sat6683,1.76
48.27,Male,No,Sat,Dinner,4,12.07,Brian Ortiz,6.59645E+15,Sat8139,6.73
20.29,Male,Yes,Sat,Dinner,2,10.14,Anthony Mclean,3.47614E+14,Sat2353,3.21
13.81,Male,Yes,Sat,Dinner,2,6.9,Ryan Hernandez,4.76683E+12,Sat3030,2
11.02,Male,Yes,Sat,Dinner,2,5.51,Joseph Hart,1.80046E+14,Sat2265,1.98
18.29,Male,Yes,Sat,Dinner,4,4.57,Chad Hart,5.80171E+11,Sat4178,3.76
17.59,Male,No,Sat,Dinner,3,5.86,Michael Johnson,2.22211E+15,Sat1667,2.64
20.08,Male,No,Sat,Dinner,3,6.69,Justin Dixon,1.80021E+14,Sat6840,3.15
16.45,Female,No,Sat,Dinner,2,8.22,Rachel Vaughn,3.56926E+15,Sat4750,2.47
3.07,Female,Yes,Sat,Dinner,1,3.07,Tiffany Brock,4.35949E+15,Sat3455,1
20.23,Male,No,Sat,Dinner,2,10.12,Mr. Travis Bailey Jr.,60406789937,Sat561,2.01
15.01,Male,Yes,Sat,Dinner,2,7.5,Adam Hall,4.70092E+15,Sat855,2.09
12.02,Male,No,Sat,Dinner,2,6.01,Max Brown,2.1314E+14,Sat2100,1.97
17.07,Female,No,Sat,Dinner,3,5.69,Teresa Fisher,5.44222E+15,Sat3469,3
26.86,Female,Yes,Sat,Dinner,2,13.43,Victoria Obrien MD,4.21625E+12,Sat1967,3.14
25.28,Female,Yes,Sat,Dinner,2,12.64,Julie Holmes,5.41869E+15,Sat6065,5
14.73,Female,No,Sat,Dinner,2,7.36,Ashley Harris,5.01829E+11,Sat6548,2.2
10.51,Male,No,Sat,Dinner,2,5.26,Kenneth Hayes,2.13142E+14,Sat5056,1.25
17.92,Male,Yes,Sat,Dinner,2,8.96,Mark Smith,6.76188E+11,Sat9908,3.08
27.2,Male,No,Thur,Lunch,4,6.8,John Davis,3.03448E+13,Thur4924,4
22.76,Male,No,Thur,Lunch,2,11.38,Chris Hahn,3.59189E+15,Thur2863,3
17.29,Male,No,Thur,Lunch,2,8.64,Brian Diaz,4.75929E+15,Thur9501,2.71
19.44,Male,Yes,Thur,Lunch,2,9.72,Louis Torres,3.88484E+13,Thur6453,3
16.66,Male,No,Thur,Lunch,2,8.33,William Martin,4.55055E+15,Thur8232,3.4
10.07,Female,No,Thur,Lunch,1,10.07,Julie Moody,6.30413E+11,Thur4909,1.83
32.68,Male,Yes,Thur,Lunch,2,16.34,Daniel Murphy,5.35618E+15,Thur8801,5
15.98,Male,No,Thur,Lunch,2,7.99,Jason Jones,4.44298E+15,Thur1944,2.03
34.83,Female,No,Thur,Lunch,4,8.71,Shawna Cook,6.01179E+15,Thur7972,5.17
13.03,Male,No,Thur,Lunch,2,6.52,Derek Thomas,2.13161E+14,Thur6793,2
18.28,Male,No,Thur,Lunch,2,9.14,Donald Williams,5.36375E+15,Thur3636,4
24.71,Male,No,Thur,Lunch,2,12.36,Roger Taylor,4.41025E+12,Thur9003,5.85
21.16,Male,No,Thur,Lunch,2,10.58,Keith Lewis,4.35601E+15,Thur6273,3
28.97,Male,Yes,Fri,Dinner,2,14.48,Daniel Mason,3.59746E+15,Fri4175,3
22.49,Male,No,Fri,Dinner,2,11.24,Earl Horn,6.01185E+15,Fri5700,3.5
5.75,Female,Yes,Fri,Dinner,2,2.88,Leah Ramirez,3.50891E+15,Fri3780,1
16.32,Female,Yes,Fri,Dinner,2,8.16,Natalie Nguyen,5.18124E+15,Fri6963,4.3
22.75,Female,No,Fri,Dinner,2,11.38,Jamie Garza,6.76318E+11,Fri2318,3.25
40.17,Male,Yes,Fri,Dinner,4,10.04,Aaron Bentley,1.80027E+14,Fri9628,4.73
27.28,Male,Yes,Fri,Dinner,2,13.64,Eric Carter,4.56305E+15,Fri3159,4
12.03,Male,Yes,Fri,Dinner,2,6.02,Eric Herrera,5.80116E+11,Fri9268,1.5
21.01,Male,Yes,Fri,Dinner,2,10.5,Michael Li,4.8318E+15,Fri144,3
12.46,Male,No,Fri,Dinner,2,6.23,Edward Carter,3.47436E+14,Fri5575,1.5
11.35,Female,Yes,Fri,Dinner,2,5.68,Lori Lynch,3.85583E+13,Fri4106,2.5
15.38,Female,Yes,Fri,Dinner,2,7.69,Tiffany Colon,6.01101E+15,Fri8382,3
44.3,Female,Yes,Sat,Dinner,3,14.77,Heather Cohen,3.79771E+14,Sat6240,2.5
22.42,Female,Yes,Sat,Dinner,2,11.21,Kathleen Hawkins,3.4801E+14,Sat1015,3.48
20.92,Female,No,Sat,Dinner,2,10.46,Gabrielle Frederick,4.01301E+15,Sat3194,4.08
15.36,Male,Yes,Sat,Dinner,2,7.68,David Price,4.02996E+12,Sat5106,1.64
20.49,Male,Yes,Sat,Dinner,2,10.24,Karl Mcdaniel,1.80024E+14,Sat7865,4.06
25.21,Male,Yes,Sat,Dinner,2,12.6,Jason Mullen,4.73878E+12,Sat5196,4.29
18.24,Male,No,Sat,Dinner,2,9.12,Steven Grant,4.11281E+15,Sat6376,3.76
14.31,Female,Yes,Sat,Dinner,2,7.16,Amanda Anderson,3.75639E+14,Sat2614,4
14,Male,No,Sat,Dinner,2,7,James Sanchez,3.45243E+14,Sat6801,3
7.25,Female,No,Sat,Dinner,1,7.25,Terri Jones,3.55922E+15,Sat4801,1
38.07,Male,No,Sun,Dinner,3,12.69,Jeff Lopez,3.57287E+15,Sun591,4
23.95,Male,No,Sun,Dinner,2,11.98,John Joyce,6.56596E+15,Sun1885,2.55
25.71,Female,No,Sun,Dinner,3,8.57,Katie Smith,5.40016E+15,Sun6492,4
17.31,Female,No,Sun,Dinner,2,8.65,Kayla Stone,3.79494E+14,Sun8746,3.5
29.93,Male,No,Sun,Dinner,4,7.48,Shawn Blake,4.68908E+15,Sun22,5.07
10.65,Female,No,Thur,Lunch,2,5.32,Linda Zhang,3.56051E+15,Thur9593,1.5
12.43,Female,No,Thur,Lunch,2,6.22,Dr. Caroline Tucker,5.02047E+11,Thur8084,1.8
24.08,Female,No,Thur,Lunch,4,6.02,Melanie Jordan,6.76212E+11,Thur8063,2.92
11.69,Male,No,Thur,Lunch,2,5.84,Kenneth Goodman,4.89126E+12,Thur8289,2.31
13.42,Female,No,Thur,Lunch,2,6.71,Laura Garcia,5.18148E+15,Thur2158,1.68
14.26,Male,No,Thur,Lunch,2,7.13,Perry Garcia,1.80035E+14,Thur3579,2.5
15.95,Male,No,Thur,Lunch,2,7.98,Christopher Lang,4.82063E+15,Thur1992,2
12.48,Female,No,Thur,Lunch,2,6.24,Jordan Diaz,4.47278E+15,Thur208,2.52
29.8,Female,No,Thur,Lunch,6,4.97,Angela Sanchez,5.03857E+11,Thur3948,4.2
8.52,Male,No,Thur,Lunch,2,4.26,Mario Bradshaw,4.5244E+15,Thur6719,1.48
14.52,Female,No,Thur,Lunch,2,7.26,Jessica Simmons,2.13102E+14,Thur1512,2
11.38,Female,No,Thur,Lunch,2,5.69,Christine Perkins,3.54839E+15,Thur8551,2
22.82,Male,No,Thur,Lunch,3,7.61,Raymond Torres,4.85578E+12,Thur9424,2.18
19.08,Male,No,Thur,Lunch,2,9.54,Seth Sexton,2.13114E+14,Thur1446,1.5
20.27,Female,No,Thur,Lunch,2,10.14,Ashley Burke,5.39465E+15,Thur9005,2.83
11.17,Female,No,Thur,Lunch,2,5.58,Taylor Gonzalez,6.01199E+15,Thur7783,1.5
12.26,Female,No,Thur,Lunch,2,6.13,Kaitlin Wolf,6.76348E+11,Thur1561,2
18.26,Female,No,Thur,Lunch,2,9.13,Karen Rodriguez,4.9526E+12,Thur75,3.25
8.51,Female,No,Thur,Lunch,2,4.26,Rebecca Harris,4.32027E+15,Thur6600,1.25
10.33,Female,No,Thur,Lunch,2,5.16,Donna Kelly,1.80049E+14,Thur1393,2
14.15,Female,No,Thur,Lunch,2,7.08,Vanessa Morris,2.13189E+14,Thur3890,2
16,Male,Yes,Thur,Lunch,2,8,Jason Burgess,3.56146E+15,Thur2710,2
13.16,Female,No,Thur,Lunch,2,6.58,Lindsey Meyer,6.7624E+11,Thur6245,2.75
17.47,Female,No,Thur,Lunch,2,8.74,Kayla Rios,5.23392E+15,Thur3906,3.5
34.3,Male,No,Thur,Lunch,6,5.72,Steven Carlson,3.52652E+15,Thur1025,6.7
41.19,Male,No,Thur,Lunch,5,8.24,Eric Andrews,4.35653E+15,Thur3621,5
27.05,Female,No,Thur,Lunch,6,4.51,Regina Jones,4.31105E+12,Thur6179,5
16.43,Female,No,Thur,Lunch,2,8.22,Linda Jones,6.54273E+15,Thur9002,2.3
8.35,Female,No,Thur,Lunch,2,4.18,Amy Young,4.28545E+12,Thur9331,1.5
18.64,Female,No,Thur,Lunch,3,6.21,Kelly Estrada,60463302327,Thur3941,1.36
11.87,Female,No,Thur,Lunch,2,5.94,Annette Cunningham,6.75938E+11,Thur4780,1.63
9.78,Male,No,Thur,Lunch,2,4.89,David Stewart,3.57801E+15,Thur7276,1.73
7.51,Male,No,Thur,Lunch,2,3.76,Daniel Robbins,4.82314E+15,Thur6321,2
14.07,Male,No,Sun,Dinner,2,7.04,Luke Rice,4.81362E+15,Sun8863,2.5
13.13,Male,No,Sun,Dinner,2,6.56,Jason Arnold,3.57183E+15,Sun2127,2
17.26,Male,No,Sun,Dinner,3,5.75,Gregory Smith,4.29236E+12,Sun5205,2.74
24.55,Male,No,Sun,Dinner,4,6.14,Todd Patterson,4.4168E+15,Sun8670,2
19.77,Male,No,Sun,Dinner,4,4.94,James Smith,2.1317E+14,Sun5814,2
29.85,Female,No,Sun,Dinner,5,5.97,Madison Wilson,4.21088E+15,Sun9176,5.14
48.17,Male,No,Sun,Dinner,6,8.03,Ryan Gonzales,3.52315E+15,Sun7518,5
25,Female,No,Sun,Dinner,4,6.25,Laura Robles,2.13159E+14,Sun7015,3.75
13.39,Female,No,Sun,Dinner,2,6.7,Ashley Boyd,3.57109E+15,Sun982,2.61
16.49,Male,No,Sun,Dinner,4,4.12,Christopher Soto,3.05018E+13,Sun1781,2
21.5,Male,No,Sun,Dinner,4,5.38,Travis Gonzalez,3.52767E+15,Sun245,3.5
12.66,Male,No,Sun,Dinner,2,6.33,Brandon Oconnor,4.40688E+15,Sun5879,2.5
16.21,Female,No,Sun,Dinner,3,5.4,Jennifer Baird,4.22783E+15,Sun5521,2
13.81,Male,No,Sun,Dinner,2,6.9,Charles Newton,5.55279E+15,Sun8594,2
17.51,Female,Yes,Sun,Dinner,2,8.76,Audrey Griffin,3.50085E+15,Sun444,3
24.52,Male,No,Sun,Dinner,3,8.17,Jacob Hansen,4.03112E+12,Sun9043,3.48
20.76,Male,No,Sun,Dinner,2,10.38,Gordon Lane,4.1106E+15,Sun6738,2.24
31.71,Male,No,Sun,Dinner,4,7.93,Michael Lawson,3.56629E+15,Sun3719,4.5
10.59,Female,Yes,Sat,Dinner,2,5.3,Sara Jimenez,5.02053E+11,Sat9795,1.61
10.63,Female,Yes,Sat,Dinner,2,5.32,Amy Hill,3.53633E+15,Sat1788,2
50.81,Male,Yes,Sat,Dinner,3,16.94,Gregory Clark,5.47385E+15,Sat1954,10
15.81,Male,Yes,Sat,Dinner,2,7.9,David Hall,5.02004E+11,Sat6750,3.16
7.25,Male,Yes,Sun,Dinner,2,3.62,Larry White,3.04326E+13,Sun9209,5.15
31.85,Male,Yes,Sun,Dinner,2,15.92,Scott Perez,3.57712E+15,Sun9335,3.18
16.82,Male,Yes,Sun,Dinner,2,8.41,Brian Miles,3.58634E+15,Sun7621,4
32.9,Male,Yes,Sun,Dinner,2,16.45,Nathan Reynolds,3.70307E+14,Sun5109,3.11
17.89,Male,Yes,Sun,Dinner,2,8.94,Walter Simmons,6.01148E+15,Sun5961,2
14.48,Male,Yes,Sun,Dinner,2,7.24,John Dudley,4.56518E+15,Sun6203,2
9.6,Female,Yes,Sun,Dinner,2,4.8,Melanie Gray,4.21181E+12,Sun4598,4
34.63,Male,Yes,Sun,Dinner,2,17.32,Brian Bailey,3.46656E+14,Sun9851,3.55
34.65,Male,Yes,Sun,Dinner,4,8.66,James Hebert DDS,6.76169E+11,Sun7544,3.68
23.33,Male,Yes,Sun,Dinner,2,11.66,Jason Cox,6.55693E+15,Sun3402,5.65
45.35,Male,Yes,Sun,Dinner,3,15.12,Jose Parsons,4.11221E+15,Sun2337,3.5
23.17,Male,Yes,Sun,Dinner,4,5.79,Dr. Michael James,4.7185E+12,Sun6059,6.5
40.55,Male,Yes,Sun,Dinner,2,20.27,Stephen Cox,3.5478E+15,Sun5140,3
20.69,Male,No,Sun,Dinner,5,4.14,Joseph Howell,3.03624E+13,Sun5842,5
20.9,Female,Yes,Sun,Dinner,3,6.97,Heidi Atkinson,4.42286E+15,Sun4254,3.5
30.46,Male,Yes,Sun,Dinner,5,6.09,David Barrett,4.79288E+15,Sun9987,2
18.15,Female,Yes,Sun,Dinner,3,6.05,Glenda Wiggins,5.78329E+11,Sun430,3.5
23.1,Male,Yes,Sun,Dinner,3,7.7,Richard Stevens,3.56019E+15,Sun1821,4
15.69,Male,Yes,Sun,Dinner,2,7.84,Riley Barnes,1.80054E+14,Sun5104,1.5
19.81,Female,Yes,Thur,Lunch,2,9.9,Kristy Boyd,4.31702E+15,Thur967,4.19
28.44,Male,Yes,Thur,Lunch,2,14.22,Dr. Jeffrey Rich,4.73754E+12,Thur4334,2.56
15.48,Male,Yes,Thur,Lunch,2,7.74,Raymond Sullivan,1.80069E+14,Thur606,2.02
16.58,Male,Yes,Thur,Lunch,2,8.29,Benjamin Weber,6.7621E+11,Thur9318,4
7.56,Male,No,Thur,Lunch,2,3.78,Michael White,4.86539E+15,Thur697,1.44
10.34,Male,Yes,Thur,Lunch,2,5.17,Eric Martin,3.04425E+13,Thur9862,2
43.11,Female,Yes,Thur,Lunch,4,10.78,Brooke Soto,5.5449E+15,Thur9313,5
13,Female,Yes,Thur,Lunch,2,6.5,Katherine Bond,4.92673E+12,Thur437,2
13.51,Male,Yes,Thur,Lunch,2,6.76,Joseph Murphy MD,6.54722E+15,Thur2428,2
18.71,Male,Yes,Thur,Lunch,3,6.24,Jason Conrad,4.58123E+12,Thur6048,4
12.74,Female,Yes,Thur,Lunch,2,6.37,Abigail Parks,3.58665E+15,Thur2544,2.01
13,Female,Yes,Thur,Lunch,2,6.5,Ashley Shaw,1.80088E+14,Thur1301,2
16.4,Female,Yes,Thur,Lunch,2,8.2,Toni Brooks,3.58229E+15,Thur7770,2.5
20.53,Male,Yes,Thur,Lunch,4,5.13,Scott Kim,3.57061E+15,Thur2160,4
16.47,Female,Yes,Thur,Lunch,3,5.49,Carly Reyes,4.78779E+12,Thur8084,3.23
26.59,Male,Yes,Sat,Dinner,3,8.86,Daniel Owens,3.89711E+13,Sat1,3.41
38.73,Male,Yes,Sat,Dinner,4,9.68,Ricky Ramirez,3.47818E+14,Sat4505,3
24.27,Male,Yes,Sat,Dinner,2,12.14,Jason Carter,4.26894E+15,Sat6048,2.03
12.76,Female,Yes,Sat,Dinner,2,6.38,Sarah Cunningham,3.41877E+14,Sat1274,2.23
30.06,Male,Yes,Sat,Dinner,3,10.02,Shawn Mendoza,3.0184E+13,Sat8361,2
25.89,Male,Yes,Sat,Dinner,4,6.47,Christopher Li,6.01196E+15,Sat6735,5.16
48.33,Male,No,Sat,Dinner,4,12.08,Alex Williamson,6.76219E+11,Sat4590,9
13.27,Female,Yes,Sat,Dinner,2,6.64,Robin Andersen,5.80141E+11,Sat1374,2.5
28.17,Female,Yes,Sat,Dinner,3,9.39,Marissa Jackson,4.9223E+15,Sat3374,6.5
12.9,Female,Yes,Sat,Dinner,2,6.45,Jessica Owen,4.7269E+12,Sat6983,1.1
28.15,Male,Yes,Sat,Dinner,5,5.63,Shawn Barnett PhD,4.59098E+12,Sat7320,3
11.59,Male,Yes,Sat,Dinner,2,5.8,Gary Orr,3.03245E+13,Sat8489,1.5
7.74,Male,Yes,Sat,Dinner,2,3.87,Nicholas Archer,3.40517E+14,Sat4772,1.44
30.14,Female,Yes,Sat,Dinner,4,7.54,Shelby House,5.02097E+11,Sat8863,3.09
12.16,Male,Yes,Fri,Lunch,2,6.08,Ricky Johnson,2.1311E+14,Fri4607,2.2
13.42,Female,Yes,Fri,Lunch,2,6.71,Leslie Kaufman,3.79438E+14,Fri7511,3.48
8.58,Male,Yes,Fri,Lunch,1,8.58,Jason Lawrence,3.5053E+15,Fri6624,1.92
15.98,Female,No,Fri,Lunch,3,5.33,Mary Rivera,5.34343E+15,Fri6014,3
13.42,Male,Yes,Fri,Lunch,2,6.71,Ronald Vaughn DVM,3.41503E+14,Fri5959,1.58
16.27,Female,Yes,Fri,Lunch,2,8.14,Whitney Arnold,3.57911E+15,Fri6665,2.5
10.09,Female,Yes,Fri,Lunch,2,5.04,Ruth Weiss,5.26869E+15,Fri6359,2
20.45,Male,No,Sat,Dinner,4,5.11,Robert Bradley,2.13142E+14,Sat4319,3
13.28,Male,No,Sat,Dinner,2,6.64,Glenn Jones,5.02062E+11,Sat2937,2.72
22.12,Female,Yes,Sat,Dinner,2,11.06,Jennifer Russell,4.793E+12,Sat3943,2.88
24.01,Male,Yes,Sat,Dinner,4,6,Michael Osborne,4.25868E+12,Sat7872,2
15.69,Male,Yes,Sat,Dinner,3,5.23,Jason Parks,4.81233E+12,Sat6334,3
11.61,Male,No,Sat,Dinner,2,5.8,James Taylor,6.01148E+15,Sat2124,3.39
10.77,Male,No,Sat,Dinner,2,5.38,Paul Novak,6.0117E+15,Sat1467,1.47
15.53,Male,Yes,Sat,Dinner,2,7.76,Tracy Douglas,4.09794E+15,Sat7220,3
10.07,Male,No,Sat,Dinner,2,5.04,Sean Gonzalez,3.53402E+15,Sat4615,1.25
12.6,Male,Yes,Sat,Dinner,2,6.3,Matthew Myers,3.54368E+15,Sat5032,1
32.83,Male,Yes,Sat,Dinner,2,16.42,Thomas Brown,4.28472E+15,Sat2929,1.17
35.83,Female,No,Sat,Dinner,3,11.94,Kimberly Crane,6.76184E+11,Sat9777,4.67
29.03,Male,No,Sat,Dinner,3,9.68,Michael Avila,5.29607E+15,Sat2657,5.92
27.18,Female,Yes,Sat,Dinner,2,13.59,Monica Sanders,3.50681E+15,Sat1766,2
22.67,Male,Yes,Sat,Dinner,2,11.34,Keith Wong,6.01189E+15,Sat3880,2
17.82,Male,No,Sat,Dinner,2,8.91,Dennis Dixon,4.37522E+12,Sat17,1.75
18.78,Female,No,Thur,Dinner,2,9.39,Michelle Hardin,3.51145E+15,Thur672,3
